swr_factor,k_min,par_id
1.986,7.658e-06,p0080
0.9621,7.087e-06,p0081
1.365,8.989e-06,p0082
0.8472,9.134e-06,p0083
1.199,4.276e-06,p0084
1.674,8.135e-06,p0085
1.248,5.142e-06,p0086
1.077,8.093e-06,p0087
1.759,6.729e-06,p0088
1.459,5.285e-06,p0089
1.633,9.217e-06,p0090
1.56,3.611e-06,p0091
0.5613,5.009e-07,p0092
1.463,4.637e-06,p0093
0.6513,4.595e-06,p0094
1.925,2.782e-06,p0095
0.628,7.389e-07,p0096
1.041,7.807e-06,p0097
1.62,6.561e-06,p0098
1.157,2.913e-06,p0099
1.363,3.467e-07,p0100
1.857,8.286e-07,p0101
1.226,7.441e-06,p0102
0.5301,9.063e-06,p0103
1.386,4.142e-06,p0104
1.605,5.985e-06,p0105
1.354,5.539e-06,p0106
1.472,9.816e-06,p0107
1.894,8.195e-06,p0108
1.256,9.535e-06,p0109
0.9661,3.499e-06,p0110
1.231,9.046e-07,p0111
1.441,8.745e-06,p0112
1.48,3.775e-06,p0113
1.664,1.714e-06,p0114
1.583,6.888e-06,p0115
0.8647,7.498e-06,p0116
0.5719,3.565e-06,p0117
1.78,1.045e-06,p0118
0.5151,4.869e-06,p0119
1.906,9.503e-06,p0120
1.003,6.976e-06,p0121
1.027,8.823e-06,p0122
1.164,7.577e-06,p0123
0.9345,3.268e-06,p0124
1.278,9.321e-06,p0125
0.8661,2.816e-06,p0126
1.685,7.192e-06,p0127
0.8244,1.902e-06,p0128
1.435,6.445e-06,p0129
0.6904,6.493e-06,p0130
1.599,8.604e-06,p0131
0.9721,5.353e-06,p0132
0.5128,9.389e-06,p0133
1.773,4.296e-06,p0134
1.373,3.848e-06,p0135
1.744,1.469e-06,p0136
1.238,3.412e-06,p0137
1.096,7.217e-06,p0138
0.7314,4.448e-06,p0139
1.629,2.893e-06,p0140
0.6478,6.833e-06,p0141
1.825,6.989e-06,p0142
1.046,3.976e-06,p0143
1.764,1.59e-06,p0144
1.169,8.688e-06,p0145
1.862,8.916e-07,p0146
1.568,7.846e-06,p0147
1.817,2.647e-06,p0148
1.42,2.342e-06,p0149
1.55,5.508e-06,p0150
0.7499,5.72e-06,p0151
1.749,9.631e-06,p0152
1.102,3.8e-06,p0153
0.8171,1.725e-07,p0154
1.868,1.282e-06,p0155
1.963,1.078e-06,p0156
1.903,7.546e-06,p0157
1.063,8.578e-06,p0158
0.8005,2.573e-06,p0159
1.965,5.21e-06,p0160
0.5081,8.641e-06,p0161
1.704,8.034e-06,p0162
1.401,1.39e-06,p0163
0.811,2.608e-06,p0164
1.971,7.018e-06,p0165
1.113,6.061e-06,p0166
1.993,6.237e-06,p0167
1.807,5.846e-06,p0168
0.9956,4.386e-06,p0169
1.886,5.582e-07,p0170
0.7391,2.766e-06,p0171
1.089,6.907e-07,p0172
1.712,9.678e-06,p0173
1.334,5.074e-06,p0174
1.216,2.318e-06,p0175
0.7024,8.244e-06,p0176
1.492,9.57e-06,p0177
1.982,4.345e-07,p0178
1.912,7.742e-06,p0179
1.381,7.87e-06,p0180
1.481,2.55e-06,p0181
0.7143,8.174e-06,p0182
0.7429,4.759e-06,p0183
0.6137,7.119e-06,p0184
0.5475,4.371e-06,p0185
0.6607,8.668e-06,p0186
1.261,6.915e-06,p0187
0.9579,9.844e-06,p0188
1.895,1.909e-07,p0189
0.8745,6.804e-06,p0190
0.7257,3.081e-06,p0191
0.5393,4.514e-06,p0192
1.132,6.38e-06,p0193
1.517,7.853e-07,p0194
1.298,1.752e-06,p0195
1.815,9.146e-06,p0196
1.575,7.621e-06,p0197
1.317,1.573e-06,p0198
0.699,6.689e-06,p0199
0.6664,3.031e-06,p0200
0.715,9.957e-06,p0201
1.335,1.243e-06,p0202
1.417,3.145e-06,p0203
0.944,5.088e-07,p0204
0.6307,3.062e-06,p0205
0.8996,7.788e-06,p0206
0.5884,6.098e-06,p0207
1.852,5.737e-06,p0208
0.6359,4.683e-06,p0209
1.084,2.734e-06,p0210
1.468,9.415e-06,p0211
1.189,4.095e-06,p0212
0.9361,6.603e-06,p0213
0.9805,5.679e-07,p0214
0.706,5.397e-06,p0215
1.265,1.653e-06,p0216
1.253,5.782e-06,p0217
1.013,8.373e-06,p0218
0.5441,1.132e-06,p0219
0.928,2.525e-06,p0220
0.7766,6.859e-06,p0221
1.694,2.092e-06,p0222
1.142,3.208e-06,p0223
1.879,8.519e-06,p0224
0.8932,9.565e-07,p0225
1.556,3.55e-06,p0226
1.836,5.811e-06,p0227
1.546,4.669e-06,p0228
0.8511,3.933e-06,p0229
0.7502,6.31e-06,p0230
1.357,6.666e-06,p0231
1.946,9.456e-06,p0232
1.521,3.354e-06,p0233
1.918,2.285e-06,p0234
1.406,2.843e-06,p0235
0.9206,4.874e-06,p0236
1.38,3.455e-06,p0237
1.717,3.485e-06,p0238
0.5833,2.171e-06,p0239
1.445,7.903e-06,p0240
1.07,8.408e-07,p0241
1.938,1.942e-06,p0242
0.655,1.197e-06,p0243
1.347,2.688e-06,p0244
1.328,4.559e-06,p0245
1.696,1.306e-06,p0246
1.01,3.391e-06,p0247
1.85,6.159e-06,p0248
1.505,1.823e-06,p0249
1.022,9.269e-06,p0250
1.638,6.634e-06,p0251
1.287,8.124e-06,p0252
1.941,2.479e-06,p0253
1.645,4.951e-06,p0254
1.605,8.456e-06,p0255
1.244,1.023e-06,p0256
1.976,6.405e-06,p0257
1.392,8.912e-06,p0258
0.6012,7.044e-06,p0259
1.139,7.338e-06,p0260
1.181,2.457e-06,p0261
1.654,2.447e-07,p0262
1.659,9.679e-07,p0263
0.6238,1.385e-06,p0264
1.273,3.895e-06,p0265
1.79,7.372e-06,p0266
0.8892,5.424e-06,p0267
0.529,4.926e-06,p0268
1.291,7.506e-06,p0269
0.9196,7.7e-06,p0270
1.833,6.534e-06,p0271
1.998,1.881e-06,p0272
1.054,2.142e-06,p0273
0.523,8.862e-06,p0274
1.623,3.116e-06,p0275
1.035,3.688e-06,p0276
1.872,8.961e-06,p0277
1.015,8.025e-06,p0278
1.708,2.018e-06,p0279
1.307,5.871e-06,p0280
1.202,9.349e-06,p0281
1.176,5.133e-06,p0282
0.6819,5.611e-06,p0283
1.769,4.496e-06,p0284
1.882,9.028e-06,p0285
0.9793,6.215e-06,p0286
1.285,5.067e-06,p0287
1.791,2.049e-06,p0288
0.7861,8.751e-06,p0289
0.5568,9.288e-06,p0290
0.9855,7.117e-07,p0291
1.148,2.23e-06,p0292
1.194,7.667e-06,p0293
1.426,6.016e-06,p0294
1.78,5.897e-06,p0295
1.034,1.961e-06,p0296
1.645,7.94e-06,p0297
0.8316,8.448e-06,p0298
1.751,7.353e-06,p0299
1.343,4.993e-06,p0300
