swr_factor,k_min,par_id
0.6005,0.04876,p0180
0.8205,1.332e-07,p0181
-0.1968,0.5061,p0182
0.9591,2.34e-07,p0183
0.5501,0.4422,p0184
0.8701,1.46e-07,p0185
0.3626,0.08027,p0186
0.7739,1.994e-07,p0187
0.4675,0.9889,p0188
0.8185,1.028e-07,p0189
0.04841,0.2337,p0190
0.8276,1.715e-07,p0191
0.07168,0.8421,p0192
0.9083,1.721e-07,p0193
0.195,0.929,p0194
0.9932,1.835e-07,p0195
0.4495,0.5569,p0196
0.9566,2.22e-07,p0197
0.2448,0.8278,p0198
0.9223,2.557e-07,p0199
0.1753,0.5475,p0200
0.8734,2.036e-07,p0201
0.6612,0.2934,p0202
0.9517,2.036e-07,p0203
0.251,0.922,p0204
0.9887,1.188e-07,p0205
0.4879,0.7414,p0206
0.7891,1.025e-07,p0207
-0.2747,0.4888,p0208
0.982,2.827e-07,p0209
-0.02644,0.6998,p0210
0.7252,1.599e-07,p0211
0.2884,0.6665,p0212
0.9905,1.577e-07,p0213
0.5605,0.3871,p0214
0.7286,2.661e-07,p0215
0.2708,0.9468,p0216
0.7236,2.737e-07,p0217
0.6191,0.4038,p0218
0.7984,1.438e-07,p0219
0.5861,0.03881,p0220
0.8877,1.526e-07,p0221
0.02069,0.1067,p0222
0.832,2.963e-07,p0223
-0.05931,0.8327,p0224
0.7011,2.132e-07,p0225
0.4116,0.4321,p0226
0.9826,1.305e-07,p0227
-0.06419,0.1962,p0228
0.8937,2.847e-07,p0229
0.04536,0.2817,p0230
0.9128,2.417e-07,p0231
-0.2656,0.2668,p0232
0.7577,2.79e-07,p0233
-0.2835,0.4807,p0234
0.8822,1.454e-07,p0235
0.3789,0.6525,p0236
0.9021,2.956e-07,p0237
-0.1709,0.9657,p0238
0.7624,2.901e-07,p0239
-0.1442,0.6903,p0240
0.8868,1.804e-07,p0241
0.567,0.4602,p0242
0.8313,2.905e-07,p0243
0.1839,0.1008,p0244
0.776,1.008e-07,p0245
-0.1213,0.2713,p0246
0.9219,2.348e-07,p0247
0.3903,0.7288,p0248
0.9101,2.17e-07,p0249
0.4713,0.2784,p0250
0.7329,1.112e-07,p0251
-0.1924,0.1052,p0252
0.9939,2.582e-07,p0253
-0.2354,0.8508,p0254
0.7584,1.119e-07,p0255
0.1854,0.3137,p0256
0.9056,2.679e-07,p0257
0.2152,0.9348,p0258
0.9312,2.192e-07,p0259
0.3515,0.2963,p0260
0.7087,1.822e-07,p0261
0.2529,0.2519,p0262
0.7293,1.094e-07,p0263
-0.1743,0.6834,p0264
0.8295,1.282e-07,p0265
0.03654,0.5206,p0266
0.7343,1.295e-07,p0267
0.5887,0.01746,p0268
0.7827,1.067e-07,p0269
-0.2162,0.3332,p0270
0.8217,1.602e-07,p0271
-0.1136,0.1356,p0272
0.9561,1.008e-07,p0273
0.3965,0.8838,p0274
0.7679,2.213e-07,p0275
0.001585,0.6774,p0276
0.7677,1.348e-07,p0277
0.1244,0.1191,p0278
0.7371,2.029e-07,p0279
0.5329,0.07759,p0280
0.7158,1.252e-07,p0281
0.0288,0.9176,p0282
0.9971,2.06e-07,p0283
-0.2478,0.5108,p0284
0.7773,1.63e-07,p0285
-0.01241,0.4056,p0286
0.7807,1.737e-07,p0287
0.2266,0.8922,p0288
0.822,2.158e-07,p0289
0.4446,0.2238,p0290
0.9527,1.639e-07,p0291
-0.2817,0.94,p0292
0.815,2.966e-07,p0293
0.1417,0.6281,p0294
0.7426,2.911e-07,p0295
-0.298,0.3459,p0296
0.9671,2.227e-07,p0297
0.4416,0.911,p0298
0.7197,1.785e-07,p0299
0.5658,0.9601,p0300
0.8082,1.953e-07,p0301
0.607,0.7217,p0302
0.9006,1.17e-07,p0303
0.5199,0.1783,p0304
0.8506,1.473e-07,p0305
0.6628,0.2867,p0306
0.9346,1.677e-07,p0307
0.5691,0.1249,p0308
0.8025,1.185e-07,p0309
0.08501,0.4225,p0310
0.8057,1.275e-07,p0311
0.07806,0.4906,p0312
0.7102,2.954e-07,p0313
-0.1602,0.5528,p0314
0.8239,2.231e-07,p0315
0.2126,0.3745,p0316
0.7617,1.133e-07,p0317
0.3429,0.9305,p0318
0.7881,2.178e-07,p0319
0.08022,0.8916,p0320
0.9773,2.605e-07,p0321
-0.1358,0.5437,p0322
0.7813,2.048e-07,p0323
0.3258,0.118,p0324
0.8758,2.676e-07,p0325
0.4693,0.4147,p0326
0.7385,2.49e-07,p0327
0.4794,0.6312,p0328
0.9845,1.39e-07,p0329
0.2049,0.3405,p0330
0.8027,2.501e-07,p0331
0.3022,0.3283,p0332
0.7518,2.982e-07,p0333
0.3416,0.148,p0334
0.7931,2.331e-07,p0335
0.2402,0.03631,p0336
0.838,1.539e-07,p0337
-0.05218,0.4396,p0338
0.7039,1.649e-07,p0339
-0.2043,0.6696,p0340
0.7533,2.415e-07,p0341
0.5598,0.5632,p0342
0.7476,2.578e-07,p0343
0.5958,0.8287,p0344
0.938,2.646e-07,p0345
0.5822,0.244,p0346
0.8729,1.288e-07,p0347
-0.2704,0.6021,p0348
0.818,1.612e-07,p0349
0.2911,0.8812,p0350
0.7968,1.612e-07,p0351
0.09491,0.5733,p0352
0.9228,2.851e-07,p0353
0.302,0.3822,p0354
0.8771,2.346e-07,p0355
-0.0449,0.1237,p0356
0.8957,2.477e-07,p0357
-0.06306,0.7185,p0358
0.783,2.511e-07,p0359
0.6166,0.812,p0360
0.9318,2.064e-07,p0361
0.1363,0.6269,p0362
0.7438,2.002e-07,p0363
0.6904,0.04504,p0364
0.9063,1.973e-07,p0365
-0.2086,0.8106,p0366
0.9864,1.902e-07,p0367
0.1986,0.5598,p0368
0.9047,1.014e-07,p0369
0.5252,0.7352,p0370
0.8854,2.155e-07,p0371
0.242,0.2748,p0372
0.8474,2.933e-07,p0373
-0.08736,2.898e-05,p0374
0.7671,2.189e-07,p0375
-0.05198,0.7233,p0376
0.9113,2.319e-07,p0377
0.4056,0.1928,p0378
0.9854,2.218e-07,p0379
-0.02827,0.9091,p0380
0.976,1.331e-07,p0381
0.168,0.6499,p0382
0.7173,1.762e-07,p0383
0.3935,0.7931,p0384
0.8408,1.482e-07,p0385
0.3196,0.4061,p0386
0.9205,2.804e-07,p0387
0.6944,0.8876,p0388
0.8693,2.83e-07,p0389
0.04043,0.7166,p0390
0.948,1.696e-07,p0391
0.3323,0.4286,p0392
0.7719,1.374e-07,p0393
0.08949,0.2451,p0394
0.954,1.29e-07,p0395
-0.1576,0.09728,p0396
0.7851,1.228e-07,p0397
0.6261,0.7256,p0398
0.8097,1.623e-07,p0399
0.1865,0.4629,p0400
0.8032,2.943e-07,p0401
0.1133,0.3918,p0402
0.9662,2.855e-07,p0403
-0.298,0.8498,p0404
0.8884,2.629e-07,p0405
0.2792,0.3592,p0406
0.7144,2.721e-07,p0407
-0.04698,0.2065,p0408
0.7658,1.417e-07,p0409
0.6525,0.04076,p0410
0.9422,2.808e-07,p0411
-0.1175,0.6979,p0412
0.84,1.589e-07,p0413
-0.2114,0.5656,p0414
0.998,1.314e-07,p0415
0.1624,0.009784,p0416
0.7538,2.746e-07,p0417
0.2673,0.175,p0418
0.7167,2.237e-07,p0419
-0.2536,0.2171,p0420
0.8164,1.429e-07,p0421
-0.03673,0.6564,p0422
0.8682,1.916e-07,p0423
0.06305,0.7264,p0424
0.8802,2.363e-07,p0425
0.5311,0.7843,p0426
0.7066,1.138e-07,p0427
0.2582,0.9367,p0428
0.9788,2.648e-07,p0429
0.2166,0.4529,p0430
0.9739,2.376e-07,p0431
-0.168,0.4596,p0432
0.7063,1.258e-07,p0433
0.5165,0.3219,p0434
0.7177,2.109e-07,p0435
-0.1378,0.5916,p0436
0.9001,2.992e-07,p0437
0.4882,0.5397,p0438
0.9595,1.848e-07,p0439
0.2226,0.7469,p0440
0.7322,1.942e-07,p0441
0.2807,0.1311,p0442
0.8279,1.889e-07,p0443
0.383,0.8843,p0444
0.9271,2.167e-07,p0445
0.4515,0.8347,p0446
0.9879,1.989e-07,p0447
0.2345,0.4415,p0448
0.9467,2.634e-07,p0449
-0.1987,0.07557,p0450
0.9521,2.815e-07,p0451
0.3373,0.7645,p0452
0.7786,1.894e-07,p0453
-0.2159,0.7699,p0454
0.9118,2.639e-07,p0455
0.6137,0.2348,p0456
0.8923,1.505e-07,p0457
0.466,0.9929,p0458
0.9493,2.756e-07,p0459
0.3308,0.3163,p0460
0.9637,1.731e-07,p0461
0.6316,0.4921,p0462
0.9701,1.085e-07,p0463
0.09626,0.0213,p0464
0.7945,2.915e-07,p0465
-0.0977,0.0892,p0466
0.8594,2.498e-07,p0467
0.6373,0.6785,p0468
0.8353,2.566e-07,p0469
0.6693,0.1684,p0470
0.7976,2.202e-07,p0471
0.3715,0.07082,p0472
0.817,2.431e-07,p0473
0.4336,0.8887,p0474
0.9173,1.945e-07,p0475
0.1563,0.4378,p0476
0.9757,1.933e-07,p0477
0.221,0.9583,p0478
0.9028,1.072e-07,p0479
0.1609,0.4656,p0480
0.8581,2.867e-07,p0481
-0.2266,0.6852,p0482
0.72,2.603e-07,p0483
0.04206,0.1773,p0484
0.7872,2.947e-07,p0485
0.4567,0.07206,p0486
0.7183,1.556e-07,p0487
-0.2868,0.4269,p0488
0.7364,1.581e-07,p0489
-0.1018,0.2847,p0490
0.8905,2.694e-07,p0491
-0.1816,0.6232,p0492
0.7484,2.8e-07,p0493
-0.1156,0.4189,p0494
0.9079,2.054e-07,p0495
0.03848,0.8046,p0496
0.7644,2.099e-07,p0497
0.1522,0.7622,p0498
0.8335,1.792e-07,p0499
0.3497,0.5513,p0500
